82.9,91.0,65.2,38.6,23.4,76.6,26.9,88.0,89.8,53.2
74.3,91.3,65.2,63.6,13.4,86.6,16.6,64.0,72.2,49.7
64.8,80.5,57.6,36.4,28.6,71.4,23.7,75.8,85.2,67.6
67.9,93.1,57.6,54.5,5.2,94.8,6.8,63.8,79.6,21.1
67.9,93.1,57.6,29.5,2.1,97.9,16.9,47.1,79.6,6.5
72.8,91.8,57.6,56.8,10.1,89.9,10.9,50.7,72.2,30.4
77.8,94.1,57.6,61.4,7.6,92.4,4.2,65.1,88.9,26.1
85.5,85.2,65.2,36.4,2.1,97.9,1.1,66.5,89.8,15.4
73.4,87.7,57.6,20.5,18.0,82.0,12.9,81.8,85.2,55.0
86.5,87.3,65.2,22.7,6.3,93.7,0.9,84.0,83.3,14.3
73.2,88.8,57.6,43.2,13.2,86.8,5.3,87.7,88.9,50.3
77.4,84.2,57.6,52.3,23.3,76.7,97.4,80.7,96.3,50.8
67.2,86.2,65.2,22.7,31.0,69.0,61.3,79.2,73.1,75.3
56.3,86.1,57.6,56.8,14.1,85.9,9.6,71.7,81.5,39.8
85.5,85.2,65.2,25.0,24.5,75.5,7.8,89.4,89.8,50.8
76.2,84.2,65.2,18.2,42.2,57.8,16.6,84.9,89.8,66.1
88.3,98.2,57.6,65.9,10.3,89.7,6.2,64.2,81.5,33.7
77.2,87.7,57.6,31.8,24.7,75.3,13.3,81.3,87.0,52.4
85.1,88.2,65.2,29.5,22.9,77.1,24.0,87.1,94.4,81.5
72.8,91.8,57.6,36.4,5.6,94.4,15.0,69.0,94.4,29.4
80.3,91.8,65.2,25.0,2.2,97.8,15.0,62.6,84.3,3.7
66.8,91.2,65.2,50.0,15.5,84.5,9.3,57.3,70.4,51.6
61.2,93.5,65.2,68.2,12.5,87.5,15.6,41.2,57.4,44.8
79.4,87.3,65.2,27.3,18.7,81.3,9.8,78.9,88.9,44.3
85.1,88.2,65.2,27.3,12.9,87.1,1.9,81.2,94.4,25.8
67.7,89.3,57.6,59.1,9.3,90.7,26.4,50.6,85.2,31.7
64.9,97.4,65.2,54.5,14.8,85.2,34.9,41.6,66.7,65.3
61.2,93.5,65.2,54.5,12.5,87.5,46.8,45.6,57.4,42.0
71.6,89.0,65.2,38.6,28.8,71.2,16.6,66.5,72.2,72.4
69.5,92.8,65.2,65.9,27.1,72.9,14.4,62.5,63.0,76.8
71.4,81.0,65.2,29.5,26.9,73.1,21.6,82.7,81.5,57.9
82.0,94.1,57.6,63.6,10.5,89.5,7.1,72.5,79.6,45.8
77.0,86.2,57.6,27.3,22.9,77.1,95.6,82.1,88.9,56.0
62.8,90.4,57.6,52.3,9.3,90.7,6.2,60.7,74.1,39.1
92.7,95.9,0.0,34.1,11.3,88.7,6.2,63.3,85.2,44.0
84.7,97.2,65.2,70.5,14.7,85.3,5.7,56.3,77.8,47.8
88.5,98.1,0.0,100.0,5.3,94.7,34.4,39.7,66.7,33.8
90.7,97.3,0.0,95.5,12.5,87.5,11.7,59.0,74.1,44.2
71.5,91.8,0.0,40.9,12.4,87.6,8.6,51.6,68.5,78.4
82.8,91.9,0.0,54.5,8.8,91.2,11.0,79.0,79.6,36.6
87.8,93.0,0.0,47.7,6.0,94.0,8.9,70.3,79.6,19.4
90.5,98.9,57.6,88.6,5.6,94.4,5.1,77.6,70.4,17.3
91.7,97.8,57.6,54.5,2.7,97.3,10.2,33.3,66.7,12.1
90.0,100.0,57.6,59.1,2.4,97.6,22.9,23.1,81.5,2.4
67.2,91.6,87.9,88.6,1.2,98.8,1.2,1.0,0.0,10.9
92.8,94.8,87.9,79.5,0.7,99.3,6.4,34.7,29.6,1.7
89.2,96.9,87.9,68.2,0.0,100.0,0.0,25.0,44.4,0.0
78.9,94.9,57.6,88.6,3.4,96.6,6.9,31.7,63.0,23.6
86.4,91.0,65.2,43.2,19.5,80.5,12.8,65.0,61.1,58.0
71.6,82.6,65.2,29.5,31.5,68.5,10.2,78.6,77.8,78.6
78.1,93.6,0.0,61.4,17.7,82.3,19.1,61.0,68.5,66.0
86.7,92.0,65.2,22.7,19.8,80.2,10.2,66.4,70.4,64.9
86.6,92.2,0.0,43.2,39.4,60.6,18.7,70.5,85.2,80.3
88.3,90.2,65.2,36.4,16.1,83.9,1.2,71.1,59.3,41.1
80.8,95.1,0.0,59.1,15.9,84.1,2.4,66.7,63.0,46.6
76.9,78.1,65.2,9.1,33.2,66.8,20.2,82.0,88.9,80.4
76.9,78.1,65.2,36.4,39.4,60.6,12.8,81.9,85.2,76.4
89.2,88.8,65.2,31.8,22.9,77.1,7.4,82.1,72.2,58.4
70.7,75.6,65.2,31.8,24.7,75.3,15.0,83.7,88.9,75.9
80.9,83.9,65.2,29.5,50.2,49.8,25.1,60.3,83.3,88.7
32.9,81.5,65.2,59.1,30.3,69.7,60.4,38.9,31.5,95.9
61.3,76.1,65.2,43.2,22.4,77.6,20.6,40.5,59.3,95.8
89.8,89.4,65.2,54.5,24.6,75.4,84.6,80.3,57.4,83.3
73.8,75.6,65.2,20.5,11.0,89.0,43.5,72.3,5.6,86.1
78.5,80.7,65.2,38.6,72.9,27.1,52.6,63.2,63.0,92.5
77.1,87.2,65.2,65.9,39.4,60.6,23.6,53.3,57.4,86.4
24.0,70.8,65.2,45.5,3.4,96.6,8.9,77.4,70.4,35.9
93.0,92.2,65.2,45.5,21.8,78.2,3.8,70.7,70.4,46.8
23.3,72.6,65.2,47.7,23.6,76.4,39.5,38.8,46.3,99.7
71.2,91.7,65.2,65.9,11.5,88.5,3.8,19.2,57.4,13.6
59.5,85.5,65.2,65.9,15.0,85.0,8.3,11.5,55.6,71.3
73.6,69.2,65.2,22.7,55.0,45.0,46.7,68.7,85.2,95.3
50.9,69.8,65.2,31.8,52.0,48.0,50.2,63.1,51.9,99.7
63.5,88.7,65.2,50.0,7.0,93.0,2.6,42.3,37.0,33.6
66.6,87.8,65.2,59.1,6.9,93.1,7.5,21.4,37.0,23.4
75.2,82.7,65.2,54.5,100.0,0.0,80.1,47.1,44.4,100.0
65.4,87.3,65.2,43.2,41.5,58.5,25.9,52.9,48.1,88.2
71.2,91.7,65.2,63.6,31.5,68.5,17.0,25.6,57.4,60.0
77.2,83.6,65.2,29.5,35.2,64.8,13.8,55.7,81.5,81.9
67.2,89.5,65.2,34.1,35.0,65.0,28.7,58.7,57.4,88.1
80.2,76.1,65.2,25.0,59.4,40.6,39.3,77.5,74.1,94.0
73.9,94.8,65.2,70.5,26.3,73.7,51.0,58.5,46.3,77.8
43.7,79.4,65.2,61.4,44.3,55.7,62.0,52.5,44.4,96.0
79.7,74.5,65.2,31.8,89.7,10.3,40.7,66.6,81.5,91.5
72.1,87.5,65.2,65.9,19.2,80.8,100.0,5.7,46.3,74.2
79.0,79.3,65.2,15.9,51.2,48.8,27.8,67.2,77.8,81.4
53.6,45.7,100.0,9.1,15.8,84.2,4.7,85.7,96.3,50.4
35.6,59.9,65.2,2.3,24.3,75.7,15.9,67.0,81.5,54.3
59.8,48.4,63.6,4.5,35.2,64.8,4.2,88.0,94.4,68.8
77.7,69.8,65.2,18.2,43.9,56.1,44.7,91.8,81.5,72.3
0.0,0.0,65.2,0.0,22.3,77.7,17.5,86.2,88.9,78.6
73.1,65.5,65.2,9.1,39.3,60.7,17.3,85.8,81.5,77.5
57.8,54.1,63.6,6.8,36.6,63.4,16.2,82.7,94.4,77.1
74.3,74.3,63.6,6.8,39.3,60.7,13.6,100.0,94.4,76.8
57.9,47.8,100.0,6.8,20.6,79.4,15.9,89.6,100.0,67.0
54.1,46.1,63.6,9.1,29.8,70.2,3.7,91.4,94.4,67.3
56.2,42.4,65.2,4.5,37.6,62.4,6.5,94.3,88.9,79.7
69.9,66.2,65.2,20.5,45.6,54.4,38.0,81.9,87.0,94.6
73.9,52.9,65.2,9.1,29.6,70.4,5.4,84.0,96.3,72.2
81.4,76.0,65.2,11.4,38.1,61.9,11.8,77.9,83.3,77.1
42.9,43.2,65.2,2.3,23.0,77.0,7.4,72.7,85.2,81.5
54.9,35.0,100.0,6.8,26.7,73.3,19.4,90.9,98.1,73.9
73.6,62.0,65.2,18.2,50.7,49.3,34.1,87.8,90.7,83.7
49.9,84.1,65.2,20.5,47.3,52.7,43.5,77.1,66.7,93.6
54.7,38.5,100.0,0.0,42.2,57.8,7.9,93.5,94.4,72.0
50.0,41.1,100.0,6.8,43.5,56.5,13.1,85.7,94.4,83.8
69.3,51.9,65.2,0.0,41.6,58.4,8.0,87.3,94.4,79.5
54.4,24.4,100.0,4.5,33.1,66.9,6.1,93.2,94.4,66.2
75.4,86.5,65.2,11.4,13.9,86.1,6.5,57.9,74.1,63.6
72.7,55.8,63.6,9.1,40.6,59.4,3.9,97.2,96.3,72.6
75.0,71.8,65.2,13.6,34.3,65.7,13.6,73.7,79.6,78.0
76.1,51.7,100.0,9.1,39.9,60.1,5.4,88.0,100.0,62.6
80.9,63.5,63.6,6.8,21.2,78.8,6.5,93.9,96.3,63.0
77.5,86.5,100.0,54.5,17.5,82.5,41.1,78.0,90.7,65.4
78.3,90.8,100.0,54.5,21.2,78.8,10.1,70.2,98.1,58.6
62.7,91.6,100.0,88.6,6.6,93.4,18.4,43.7,55.6,64.1
74.3,87.0,100.0,27.3,23.0,77.0,19.7,87.1,96.3,79.7
65.4,78.6,100.0,45.5,32.3,67.7,15.6,76.9,98.1,68.7
68.5,93.6,100.0,97.7,29.1,70.9,43.2,42.4,31.5,91.7
72.3,80.1,100.0,11.4,28.8,71.2,12.1,80.0,96.3,70.4
84.4,88.8,100.0,43.2,37.7,62.3,22.4,72.0,90.7,88.8
89.3,83.3,100.0,31.8,50.5,49.5,23.6,72.6,92.6,79.2
85.8,90.6,100.0,38.6,24.3,75.7,24.7,71.7,85.2,79.6
72.4,96.9,100.0,100.0,19.9,80.1,17.9,35.8,22.2,77.9
93.6,98.6,100.0,88.6,6.4,93.6,1.2,24.6,37.0,10.5
69.6,90.7,100.0,31.8,8.1,91.9,20.0,39.8,51.9,37.1
92.6,97.6,100.0,88.6,7.0,93.0,4.5,49.4,37.0,26.6
76.8,93.2,100.0,75.0,23.6,76.4,27.8,62.8,66.7,79.0
98.4,96.6,100.0,88.6,1.9,98.1,7.2,17.5,37.0,5.8
84.4,96.0,100.0,93.2,4.9,95.1,8.6,37.9,37.0,19.2
80.6,96.7,100.0,84.1,15.5,84.5,11.5,62.6,83.3,69.5
39.6,89.8,100.0,22.7,8.8,91.2,77.3,46.0,42.6,52.2
90.8,97.3,87.9,61.4,2.6,97.4,1.6,0.0,35.2,6.5
88.3,96.6,87.9,52.3,2.9,97.1,19.8,15.7,35.2,3.5
63.8,90.8,87.9,81.8,13.7,86.3,34.9,16.4,33.3,66.3
84.8,95.7,87.9,61.4,17.8,82.2,30.1,39.6,64.8,68.2
78.1,97.5,87.9,63.6,4.6,95.4,2.0,9.7,20.4,15.1
100.0,99.6,87.9,54.5,18.3,81.7,44.5,39.4,24.1,85.3
64.9,96.2,87.9,65.9,10.4,89.6,28.1,29.3,64.8,54.7
47.5,88.0,87.9,77.3,17.3,82.7,25.1,52.4,55.6,74.5
76.9,90.1,87.9,29.5,26.6,73.4,16.8,61.5,55.6,67.8
54.9,83.8,87.9,15.9,5.0,95.0,30.7,54.5,66.7,26.2
37.0,87.3,87.9,40.9,13.2,86.8,24.8,54.7,35.2,42.1
84.9,95.1,87.9,29.5,28.6,71.4,72.0,49.7,61.1,66.0
86.0,94.1,87.9,84.1,2.2,97.8,3.6,18.7,11.1,13.2
82.3,92.7,87.9,47.7,51.2,48.8,25.4,46.5,64.8,84.8
69.6,90.5,87.9,52.3,40.9,59.1,43.2,47.3,57.4,96.3
32.9,91.7,87.9,38.6,4.1,95.9,19.2,57.3,59.3,54.4
17.4,90.2,87.9,61.4,16.6,83.4,24.2,51.1,66.7,82.5
61.3,89.3,87.9,84.1,22.9,77.1,32.3,20.3,24.1,88.6
72.0,91.8,87.9,31.8,31.1,68.9,41.7,54.6,51.9,86.1
55.3,75.3,87.9,38.6,27.7,72.3,32.0,33.7,7.4,88.4
72.0,91.8,87.9,48.9,1.4,98.6,6.7,55.2,51.9,62.1
46.8,93.5,87.9,54.5,28.1,71.9,30.4,36.1,51.9,84.3
83.8,95.8,87.9,47.7,30.4,69.6,23.0,11.4,27.8,64.3
